angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
0.0,1920000000,-9.762200000e-05,-8.471300000e-05,-1.829015800e-02,7.468993000e-03,-77.771185,-34.085839
0.0,1940000000,-8.157000000e-05,-8.106700000e-05,5.452924400e-02,4.187265200e-02,-78.785871,-23.254367
0.0,1960000000,-8.007500000e-05,-8.516000000e-05,6.034217600e-02,4.929693600e-02,-78.644148,-22.167136
0.0,1980000000,-1.019650000e-04,-8.035300000e-05,-8.009750400e-02,1.921774800e-02,-77.733108,-21.684545
0.0,2000000000,-9.947100000e-05,-9.081900000e-05,-1.870849800e-02,2.074465760e-01,-77.413012,-13.626695
0.0,2020000000,-9.671600000e-05,-7.678100000e-05,2.298316800e-01,8.464434400e-02,-78.167499,-12.219409
0.0,2040000000,-8.254200000e-05,-6.472400000e-05,2.049089760e-01,-1.135544560e-01,-79.585134,-12.605677
0.0,2060000000,-1.092590000e-04,-8.440700000e-05,-1.799766560e-01,-1.770601760e-01,-77.198299,-11.955750
0.0,2080000000,-6.771600000e-05,-7.283700000e-05,6.005792400e-02,-3.668960640e-01,-80.047736,-8.594301
0.0,2100000000,-8.548400000e-05,-8.756200000e-05,-1.038530800e-01,-1.916849600e-01,-78.246442,-13.230451
0.0,2120000000,-3.189600000e-05,-6.611700000e-05,3.131509760e-01,-1.653584480e-01,-82.685069,-9.016784
0.0,2140000000,-8.886100000e-05,-7.041100000e-05,1.174647400e-02,-8.474430000e-04,-78.909622,-38.579304
0.0,2160000000,-1.163960000e-04,-5.144900000e-05,2.100612000e-01,-2.211985280e-01,-77.906183,-10.312626
0.0,2180000000,-3.601500000e-05,-1.560700000e-05,-1.479301600e-01,-9.007472000e-02,-88.122936,-15.229253
0.0,2200000000,-8.582300000e-05,-8.320700000e-05,-2.208129000e-03,3.063822720e-01,-78.449984,-10.274502
0.0,2220000000,-5.206800000e-05,-7.611300000e-05,-2.642934880e-01,9.587077600e-02,-80.703632,-11.021407
0.0,2240000000,-8.669300000e-05,-9.025800000e-05,-6.735925600e-02,9.287236000e-02,-78.051477,-18.806601
0.0,2260000000,-1.064910000e-04,-1.278680000e-04,2.069314240e-01,-1.596164000e-01,-75.576683,-11.655920
0.0,2280000000,-1.430150000e-04,-1.117000000e-04,8.102747000e-03,-6.353391600e-02,-74.824059,-23.869818
0.0,2300000000,-1.471380000e-04,-1.079370000e-04,4.308624320e-01,-5.687746400e-02,-74.775559,-7.238198
0.0,2320000000,-1.047730000e-04,-8.763200000e-05,-2.390669760e-01,-1.553272320e-01,-77.291640,-10.900186
0.0,2340000000,-1.344080000e-04,-1.203360000e-04,1.910915840e-01,-2.405319520e-01,-74.874989,-10.251586
0.0,2360000000,-1.324680000e-04,-3.068300000e-05,8.033958000e-03,-1.171238240e-01,-77.330815,-18.606709
0.0,2380000000,-7.311500000e-05,-3.004900000e-05,6.815687200e-02,-4.667139000e-03,-82.042072,-23.309490
0.0,2400000000,-7.864100000e-05,-7.102200000e-05,1.390825920e-01,-2.195644640e-01,-79.496770,-11.703584
0.0,2420000000,-7.246500000e-05,-6.141400000e-05,3.261444800e-01,2.099992640e-01,-80.446560,-8.225503
0.0,2440000000,-6.715600000e-05,-5.687400000e-05,-1.238882600e-02,3.077374720e-01,-81.110021,-10.229360
0.0,2460000000,-1.182840000e-04,-5.795400000e-05,1.138073920e-01,1.843994880e-01,-77.607063,-13.283154
0.0,2480000000,-9.829200000e-05,-3.400000000e-05,1.443528480e-01,-1.459545120e-01,-79.658804,-13.753007
0.0,2500000000,-7.588700000e-05,-9.750400000e-05,2.907238720e-01,-2.720103360e-01,-78.162785,-7.999434
0.0,2520000000,-8.049700000e-05,-7.016900000e-05,3.518959680e-01,-1.441189440e-01,-79.429635,-8.398286
0.0,2540000000,-1.553540000e-04,-1.076900000e-04,5.125490560e-01,8.689509600e-02,-74.469427,-5.682226
0.0,2560000000,-1.092420000e-04,-9.018200000e-05,4.422554400e-02,-2.502596960e-01,-76.975260,-11.898629
0.0,2580000000,-5.470100000e-05,-1.089450000e-04,-1.092337440e-01,-2.966403200e-01,-78.279458,-10.003150
0.0,2600000000,-8.826200000e-05,-1.736170000e-04,1.164604400e-01,-1.574672960e-01,-74.209823,-14.161329
0.0,2620000000,-1.023000000e-04,-7.535500000e-05,9.420300000e-03,2.470040400e-02,-77.919978,-31.556148
0.0,2640000000,-7.754900000e-05,-1.247820000e-04,5.997941600e-02,-3.144708200e-02,-76.658601,-23.385234
0.0,2660000000,-7.410000000e-05,-1.348460000e-04,3.002997800e-02,2.069004200e-02,-76.257237,-28.761884
0.0,2680000000,-1.239660000e-04,-3.421300000e-05,3.328880200e-02,-6.828361000e-03,-77.815144,-29.375042
0.0,2700000000,-1.763110000e-04,-1.087930000e-04,1.144519200e-01,8.252116000e-02,-73.673253,-17.009509
0.0,2720000000,-7.229300000e-05,-8.315300000e-05,9.907527200e-02,-1.411728000e-01,-79.157563,-15.265763
0.0,2740000000,-1.021300000e-04,-1.477910000e-04,-2.206286600e-02,4.819648800e-02,-74.911645,-25.513445
