angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
266.0,1380000000,2.398625000e-06,-5.620400000e-05,6.189674250e-03,-1.384910000e-03,-84.996753,-43.954495
266.0,1400000000,4.583537500e-05,-2.481475000e-05,-1.108872500e-04,1.395234362e-02,-85.659658,-37.106782
266.0,1420000000,1.070176250e-04,-4.523712500e-05,1.405240187e-02,-2.624605375e-03,-78.696929,-36.896072
266.0,1440000000,1.202543750e-04,-5.211587500e-05,8.995633750e-03,2.597543250e-03,-77.650482,-40.571556
266.0,1460000000,6.359287500e-05,-1.619633750e-04,-2.463961375e-03,-7.979475000e-04,-75.188988,-51.734182
266.0,1480000000,3.677400000e-05,-8.828862500e-05,1.096867300e-02,5.084665750e-03,-80.387114,-38.351548
266.0,1500000000,9.515737500e-05,-1.819925000e-05,8.781384375e-03,-8.508700000e-05,-80.275130,-41.128333
266.0,1520000000,1.113258750e-04,-2.951362500e-05,2.233722375e-03,3.124378750e-03,-78.773090,-48.311709
266.0,1540000000,9.698512500e-05,-7.021950000e-05,1.080750325e-02,3.497363750e-03,-78.435450,-38.892969
266.0,1560000000,6.772162500e-05,-7.106137500e-05,7.223547000e-03,8.049736000e-03,-80.161060,-39.318963
266.0,1580000000,8.554087500e-05,-1.096005000e-04,5.016920125e-03,7.105202500e-03,-77.137791,-41.211716
266.0,1600000000,8.819975000e-05,-1.382220000e-04,4.046124750e-03,1.264730050e-02,-75.704978,-37.536853
266.0,1620000000,5.813412500e-05,-1.211310000e-04,3.283025875e-03,1.215241775e-02,-77.434676,-38.000817
266.0,1640000000,1.866500000e-05,-5.788437500e-05,1.721619900e-02,-9.488165000e-03,-84.319177,-34.129373
266.0,1660000000,3.206700000e-05,3.678362500e-05,1.121048575e-02,7.864323000e-03,-86.231809,-37.269465
266.0,1680000000,1.321178750e-04,-6.007062500e-05,1.076110512e-02,-2.943774000e-03,-76.764671,-39.049451
266.0,1700000000,1.510710000e-04,-1.512371250e-04,2.372585562e-02,-1.568409012e-02,-73.401302,-30.921015
266.0,1720000000,9.621437500e-05,-1.832245000e-04,3.006027625e-03,-1.843089137e-02,-73.682679,-34.575058
266.0,1740000000,4.697425000e-05,-1.409953750e-04,2.368154063e-02,4.023027750e-03,-76.558775,-32.388241
266.0,1760000000,1.357237500e-05,-8.225125000e-05,1.595175600e-02,-2.802450875e-03,-81.580478,-35.811814
266.0,1780000000,2.911775000e-05,-5.961050000e-05,3.939981250e-03,2.686362625e-03,-83.564235,-46.432096
266.0,1800000000,1.431596250e-04,-9.075750000e-05,2.706757438e-02,1.427293338e-02,-75.416402,-30.285524
266.0,1820000000,1.674073750e-04,-1.070217500e-04,2.276690575e-02,-1.960289800e-02,-74.036351,-30.445020
266.0,1840000000,1.697345000e-04,-1.051460000e-04,2.389427513e-02,-1.776523500e-03,-73.994030,-32.410182
266.0,1860000000,1.236855000e-04,-1.681532500e-04,2.630681350e-02,-3.768282875e-03,-73.607764,-31.510425
266.0,1880000000,9.109662500e-05,-2.434838750e-04,-2.014263250e-02,-1.468996813e-02,-71.701626,-32.065443
266.0,1900000000,8.044225000e-05,-2.239770000e-04,2.458669975e-02,3.992412250e-03,-72.469024,-32.072966
266.0,1920000000,7.501212500e-05,-1.553277500e-04,3.567802938e-02,-4.728072250e-03,-75.264615,-28.876375
266.0,1940000000,2.272373750e-04,9.428450000e-05,4.806283738e-02,5.807197500e-04,-72.180552,-26.363178
266.0,1960000000,6.080585000e-04,2.033412500e-05,2.897405838e-02,3.762567875e-02,-64.316239,-26.468173
